,state,fertility,population,territory,density,GDP,GDPcap,GDPgrowth,GDPcapgrowth,literacy,education
22,Equatorial Guinea,4.04,1558160.0,28050.0,67.0,12684.0,7750.0,5.8,-7.9,95.3,0.467
23,Burkina Faso,4.01,23409015.0,273600.0,86.0,27056.0,1107.0,5.5,0.4,39.3,0.312
24,Zambia,3.97,19610769.0,743390.0,29.0,28910.0,1332.0,2.3,3.0,86.7,0.557
25,Madagascar,3.85,30811969.0,581800.0,55.0,18708.0,595.0,4.5,1.5,76.7,0.486
26,Ethiopia,3.81,109499000.0,1128571.0,117.0,117457.0,1066.0,6.1,3.8,51.8,0.341
27,Gambia,3.8,2417471.0,10120.0,273.0,2771.0,988.0,5.8,,50.8,0.406
28,Liberia,3.79,5248621.0,96320.0,58.0,5166.0,908.0,5.1,2.5,48.3,0.426
29,Comoros,3.76,870038.0,1861.0,466.0,1548.0,1865.0,3.5,0.9,58.8,0.482
30,Samoa,3.75,205557.0,2780.0,78.0,1160.0,5471.0,9.7,6.4,99.1,0.713
31,Senegal,3.71,18126390.0,192530.0,96.0,34728.0,1811.0,6.0,1.1,51.9,0.345
32,South Sudan,3.71,15254268.0,631930.0,19.0,3998.0,251.0,-26.4,-10.6,34.5,0.307
33,Guinea-Bissau,3.68,1781308.0,28120.0,78.0,2274.0,1127.0,5.0,2.1,,0.414
34,Zimbabwe,3.62,16751469.0,386850.0,43.0,38172.0,2199.0,2.0,2.8,86.5,0.587
35,Eritrea,3.61,3535603.0,121041.0,29.0,,,,6.7,76.6,0.269
36,Sierra Leone,3.61,8884032.0,72180.0,120.0,8386.0,916.0,4.0,1.2,43.2,0.406
37,Rwanda,3.59,13798561.0,24670.0,578.0,14771.0,1043.0,7.0,5.8,73.2,0.458
38,Gabon,3.54,2408586.0,257670.0,9.9,20391.0,8842.0,3.1,0.3,84.7,0.65
39,Vanuatu,3.53,321409.0,12190.0,27.0,1267.0,3492.0,0.9,-0.2,87.5,0.561
40,Malawi,3.53,20270568.0,94280.0,230.0,13959.0,580.0,1.8,-1.0,62.1,0.47
41,São Tomé and Príncipe,3.53,228319.0,960.0,245.0,864.0,3569.0,1.1,-2.4,,0.567
42,Pakistan,3.5,241499431.0,770880.0,326.0,,1581.0,2.5,-1.9,58.0,0.402
43,Solomon Islands,3.47,750325.0,27990.0,29.0,1707.0,2379.0,2.3,0.7,77.0,0.474
44,Uzbekistan,3.45,37543167.0,440652.0,83.0,132484.0,3514.0,5.6,3.8,100.0,0.729
45,Ghana,3.3,33007618.0,227533.0,151.0,88332.0,2519.0,3.1,1.0,79.0,0.563
46,Nauru,3.25,11680.0,20.0,597.0,169.0,12727.0,1.5,-0.2,95.0,
47,Palestine,3.19,5483450.0,6020.0,892.0,18602.0,3259.0,,-7.7,9711.0,0.678
48,Iraq,3.17,44414800.0,434128.0,106.0,258020.0,5668.0,0.1,-5.1,85.6,0.557
49,Namibia,3.17,3022401.0,823290.0,3.7,14214.0,4661.0,3.1,2.7,91.5,0.584
50,Tuvalu,3.14,10643.0,30.0,322.0,65.0,6543.0,3.5,3.1,99.0,
51,Kenya,3.12,52428290.0,569140.0,99.0,131673.0,2468.0,5.0,3.4,81.5,0.534
52,Kiribati,3.09,120740.0,810.0,166.0,312.0,2414.0,5.8,2.5,,0.594
53,Tonga,3.07,100179.0,720.0,145.0,568.0,5721.0,1.8,-2.8,99.4,0.775
54,Papua New Guinea,3.03,11781559.0,452860.0,23.0,32835.0,2565.0,4.6,0.8,64.2,0.439
55,Tajikistan,2.99,10277100.0,138790.0,76.0,14836.0,1432.0,6.8,6.3,99.8,0.682
56,Kazakhstan,2.95,20316155.0,2699700.0,7.6,300538.0,14768.0,4.0,3.7,99.8,0.84
57,Marshall Islands,2.82,42418.0,180.0,209.0,297.0,8133.0,5.0,2.2,98.3,0.707
58,Israel,2.75,10045100.0,21640.0,434.0,583361.0,57760.0,0.7,-0.1,97.8,0.883
59,Kyrgyzstan,2.75,7161900.0,191800.0,37.0,19849.0,2747.0,6.5,4.3,99.6,0.73
